psgcCode,correspondenceCode,officialName,displayName,geographicLevel,parentPsgcCode,regionPsgcCode,provincePsgcCode,cityMunicipalityPsgcCode,cityClassification,incomeClassification,oldName,sourceStatus,urbanRural,sourceVersion,suggestedSlug
1300000000,130000000,National Capital Region (NCR),National Capital Region (NCR),region,,1300000000,,,,,,,,PSGC-2026-Q2-2026-06-30,metro-manila
1380100000,137501000,City of Caloocan,Caloocan City,city,1300000000,1300000000,,1380100000,Highly Urbanized City,1st,,,,PSGC-2026-Q2-2026-06-30,caloocan
1380100001,137501001,Barangay 1,Barangay 1,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-1-national-capital-region-ncr
1380100002,137501002,Barangay 2,Barangay 2,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-2-national-capital-region-ncr
1380100003,137501003,Barangay 3,Barangay 3,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-3-national-capital-region-ncr
1380100004,137501004,Barangay 4,Barangay 4,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-4-national-capital-region-ncr
1380100005,137501005,Barangay 5,Barangay 5,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-5-national-capital-region-ncr
1380100006,137501006,Barangay 6,Barangay 6,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-6-national-capital-region-ncr
1380100007,137501007,Barangay 7,Barangay 7,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-7-national-capital-region-ncr
1380100008,137501008,Barangay 8,Barangay 8,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-8-national-capital-region-ncr
1380100009,137501009,Barangay 9,Barangay 9,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-9-national-capital-region-ncr
1380100010,137501010,Barangay 10,Barangay 10,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-10-national-capital-region-ncr
1380100011,137501011,Barangay 11,Barangay 11,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-11-national-capital-region-ncr
1380100012,137501012,Barangay 12,Barangay 12,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-12-national-capital-region-ncr
1380100013,137501013,Barangay 13,Barangay 13,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-13-national-capital-region-ncr
1380100014,137501014,Barangay 14,Barangay 14,barangay,1380100000,1300000000,,1380100000,,,,,U,PSGC-2026-Q2-2026-06-30,barangay-14-national-capital-region-ncr
