psgcCode,correspondenceCode,officialName,displayName,geographicLevel,parentPsgcCode,regionPsgcCode,provincePsgcCode,cityMunicipalityPsgcCode,cityClassification,incomeClassification,oldName,sourceStatus,urbanRural,sourceVersion,suggestedSlug
0304900000,034900000,Nueva Ecija,Nueva Ecija,province,0300000000,0300000000,0304900000,,,1st,,,,PSGC-2026-Q2-2026-06-30,nueva-ecija
0304901000,034901000,Aliaga,Aliaga,municipality,0304900000,0300000000,0304900000,0304901000,,1st,,,,PSGC-2026-Q2-2026-06-30,aliaga-nueva-ecija
0304901003,034901003,Betes,Betes,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,betes
0304901004,034901004,Bibiclat,Bibiclat,barangay,0304901000,0300000000,0304900000,0304901000,,,,,U,PSGC-2026-Q2-2026-06-30,bibiclat-nueva-ecija
0304901005,034901005,Bucot,Bucot,barangay,0304901000,0300000000,0304900000,0304901000,,,,,U,PSGC-2026-Q2-2026-06-30,bucot
0304901010,034901010,La Purisima,La Purisima,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,la-purisima-nueva-ecija
0304901015,034901015,Magsaysay,Magsaysay,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,magsaysay-nueva-ecija
0304901016,034901016,Macabucod,Macabucod,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,macabucod
0304901018,034901018,Pantoc,Pantoc,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,pantoc-nueva-ecija
0304901020,034901020,Poblacion Centro,Poblacion Centro,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,poblacion-centro
0304901021,034901021,Poblacion East I,Poblacion East I,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,poblacion-east-i
0304901022,034901022,Poblacion East II,Poblacion East II,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,poblacion-east-ii
0304901023,034901023,Poblacion West III,Poblacion West III,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,poblacion-west-iii
0304901024,034901024,Poblacion West IV,Poblacion West IV,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,poblacion-west-iv
0304901027,034901027,San Carlos,San Carlos,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,san-carlos-nueva-ecija
0304901028,034901028,San Emiliano,San Emiliano,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,san-emiliano
0304901029,034901029,San Eustacio,San Eustacio,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,san-eustacio
0304901030,034901030,San Felipe Bata,San Felipe Bata,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,san-felipe-bata
0304901031,034901031,San Felipe Matanda,San Felipe Matanda,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,san-felipe-matanda
0304901032,034901032,San Juan,San Juan,barangay,0304901000,0300000000,0304900000,0304901000,,,,,U,PSGC-2026-Q2-2026-06-30,san-juan-nueva-ecija
0304901033,034901033,San Pablo Bata,San Pablo Bata,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,san-pablo-bata
0304901034,034901034,San Pablo Matanda,San Pablo Matanda,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,san-pablo-matanda
0304901035,034901035,Santa Monica,Santa Monica,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,santa-monica-nueva-ecija
0304901036,034901036,Santiago,Santiago,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,santiago-nueva-ecija
0304901038,034901038,Santo Rosario,Santo Rosario,barangay,0304901000,0300000000,0304900000,0304901000,,,,,R,PSGC-2026-Q2-2026-06-30,santo-rosario-nueva-ecija
